category;precision;recall;f1
3d_printed_apparel;0.8812100000;0.8967030000;0.8888890000
3d_printed_food;0.7758620000;0.6428570000;0.7031250000
3d_printing;0.8038150000;0.7662340000;0.7845740000
animal_rights;0.6016260000;0.6235960000;0.6124140000
artificial_intelligence;0.7837840000;0.6214290000;0.6932270000
autonomous_transport;0.7719870000;0.7406250000;0.7559810000
biking;0.5534110000;0.6417910000;0.5943330000
biophilia;0.8557990000;0.7583330000;0.8041240000
blockchain;0.7750000000;0.8266670000;0.8000000000
capsule_wardrobe;0.6750000000;0.6279070000;0.6506020000
car_sharing;0.8210530000;0.6324320000;0.7145040000
carbon_price;0.6883120000;0.6765960000;0.6824030000
cement_production;0.6598100000;0.7651380000;0.7085810000
chemicals_production;0.6168220000;0.6000000000;0.6082950000
circular_economy;0.4326240000;0.4880000000;0.4586470000
city_planning;0.6309520000;0.6235290000;0.6272190000
clothes_designed_for_a_circular_economy;0.6219510000;0.6181820000;0.6200610000
compact_living;0.5126180000;0.5284550000;0.5204160000
daylight_architecture;0.4597700000;0.5714290000;0.5095540000
dematerialisation;0.4230770000;0.3384620000;0.3760680000
digital_solutions_to_regulate_food_intake_and_nutrition;0.2804880000;0.1769230000;0.2169810000
drone;0.4488780000;0.6428570000;0.5286340000
e_health;0.5714290000;0.3789470000;0.4556960000
ecosophy;0.8816640000;0.9100670000;0.8956410000
electric_car;0.8547010000;0.8695650000;0.8620690000
energy_storage;0.4894370000;0.5346150000;0.5110290000
fiber_optic_cables;0.7333330000;0.8642860000;0.7934430000
flight_shame;0.4255320000;0.2580650000;0.3212850000
food_waste_management_solutions;0.4661920000;0.3690140000;0.4119500000
grid_parity;0.5512820000;0.4526320000;0.4971100000
half_earth;0.3086420000;0.1785710000;0.2262440000
heating_and_cooling;0.8082190000;0.7531910000;0.7797360000
hologram;0.7668160000;0.7075860000;0.7360110000
hydropower;0.5719840000;0.3972970000;0.4689000000
insulation;0.8118810000;0.7454550000;0.7772510000
led;0.3750000000;0.2500000000;0.3000000000
local_vacations;0.3413900000;0.2973680000;0.3178620000
low_energy_demand;0.8489210000;0.6051280000;0.7065870000
low_impact_living;0.6893940000;0.7378380000;0.7127940000
meat_shame;0.5746750000;0.6807690000;0.6232390000
meatfree_plant_based_biotech;0.6225960000;0.8222220000;0.7086180000
modular_design;0.3807110000;0.3409090000;0.3597120000
nanotechnology;0.8803990000;0.7681160000;0.8204330000
new_living_concepts;0.8209460000;0.8379310000;0.8293520000
organic_food;0.5333330000;0.5575760000;0.5451850000
plus_energy_buildings;0.4875000000;0.4775510000;0.4824740000
public_transport;0.5294120000;0.1800000000;0.2686570000
rent_apparel;0.5500770000;0.5622050000;0.5560750000
scope_for_avoided_emissions;0.0000000000;0.0000000000;0.0000000000
sharing_economy;0.7471260000;0.5416670000;0.6280190000
shipping;0.4444440000;0.1454550000;0.2191780000
smart_collaboration_tools;0.5251140000;0.7113400000;0.6042030000
smart_energy_grids;0.0000000000;0.0000000000;0.0000000000
smart_food_management_kitchen_fridges_freezers;0.9210530000;0.8750000000;0.8974360000
solar_energy;0.6941180000;0.6941180000;0.6941180000
steel_production;0.5723270000;0.6500000000;0.6086960000
sustainable_agriculture_production;0.6398390000;0.6765960000;0.6577040000
sustainable_fabrics;0.5532320000;0.6466670000;0.5963110000
sustainable_forestry;0.3702130000;0.4243900000;0.3954550000
sustainable_washing;0.5028570000;0.5028570000;0.5028570000
sustainable_water_production_treatment;0.5724820000;0.7169230000;0.6366120000
teleworking;0.6441440000;0.3620250000;0.4635330000
train;0.3428570000;0.2000000000;0.2526320000
universal_basic_income;0.5614040000;0.6000000000;0.5800600000
urban_farming;0.8010200000;0.7850000000;0.7929290000
vegan_food;0.5882350000;0.3333330000;0.4255320000
videoconferencing;0.5189870000;0.7235290000;0.6044230000
virtual_reality;0;0;0
walking;0;0;0
wind_power;0;0;0
renewable_energy;0.7503630000;0.7230770000;0.7364670000
sustainable_energy;0.5927600000;0.5695650000;0.5809310000
sustainable_energy_production;0.6450700000;0.7046150000;0.6735290000
